id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon,YADTV_2019,YoY_ratio,YoY_bins
30384V971782,TRONSTAD,VEHICLE,Indre Østfold,Viken,F,FV128 S8D1 m2981,59.616764,11.051502,4514.0,1.07,3) -10%...+10%
22500V805651,HOVLAND,VEHICLE,Ullensvang,Vestland,R,RV13 S28D1 m9641,60.242933,6.619769,1398.0,1.08,3) -10%...+10%
73380V121327,Rampe mot Prestheia,VEHICLE,Kristiansand,Agder,E,EV18 S1D1 m5911 KD3 m82,58.161539,8.019593,5359.0,1.07,3) -10%...+10%
56374V705257,SØNSTERUD S,VEHICLE,Åsnes,Innlandet,F,FV206 S2D1 m5427,60.654613,12.054362,2166.0,1.02,3) -10%...+10%
24783B2045151,Orstad sykkel- begge retn.,BICYCLE,Klepp,Rogaland,F,FV505 S3D120 m1243,58.798377,5.72743,108.0,1.1,3) -10%...+10%
12288V249204,Valgermo,VEHICLE,Ålesund,Møre og Romsdal,F,FV522 S1D1 m180,62.479464,6.864239,687.0,1.06,3) -10%...+10%
53155V1665289,RULLESTADTUNNELEN,VEHICLE,Etne,Vestland,E,EV134 S9D1 m4491,59.882403,6.467232,1814.0,1.15,4) +10%...+25%
97687V72808,Horg,VEHICLE,Melhus,Trøndelag,E,EV6 S70D1 m7539,63.138462,10.254719,9476.0,1.22,4) +10%...+25%
59048V2545015,RÅKEN ENEBAKK,VEHICLE,Enebakk,Viken,F,FV155 S2D1 m4366,59.739362,11.008667,4299.0,1.07,3) -10%...+10%
99525V384515,NADDVIK,VEHICLE,Årdal,Vestland,F,FV53 S7D1 m1015,61.188238,7.621573,1005.0,1.16,4) +10%...+25%
02688V704997,NSB V/NAMNÅ SØR,VEHICLE,Grue,Innlandet,F,FV2056 S1D1 m116,60.491064,12.078467,793.0,1.03,3) -10%...+10%
27227V885156,Trældaltunnelen,VEHICLE,Narvik,Nordland,E,EV10 S32D1 m3266,68.475677,17.589289,1097.0,0.29,1) <-25%
46784V705222,INNBYGDA S,VEHICLE,Trysil,Innlandet,F,FV26 S4D1 m4650,61.307591,12.258491,3116.0,1.13,4) +10%...+25%
72741V1811592,DALKRYSSET AVRAMPE,VEHICLE,Ullensaker,Viken,E,EV6 S24D1 m2172 KD3 m250,60.255177,11.179484,563.0,1.13,4) +10%...+25%
78805V2347241,REVET,VEHICLE,Larvik,Vestfold og Telemark,R,RV400 S1D1 m309,59.041197,10.055649,2963.0,0.81,2) -25%...+10%
21381V2554057,JAREN,VEHICLE,Indre Østfold,Viken,E,EV18 S62D1 m4236,59.622342,10.99694,14945.0,0.93,3) -10%...+10%
14551V705197,NORDSTUMOEN S,VEHICLE,Stor-Elvdal,Innlandet,R,RV3 S12D1 m9551,61.569679,11.007197,3173.0,1.12,4) +10%...+25%
71241V2460301,Kong Håkon 5.s gt Nordgående,VEHICLE,Oslo,Oslo,R,RV162 S1D1 m836,59.905889,10.761544,12213.0,0.94,3) -10%...+10%
18523V2282344,Ørbekk Nordgående Rampe,VEHICLE,Eidsvoll,Viken,E,EV6 S26D1 m1421 KD2 m71,60.414391,11.24177,135.0,1.28,5) >+25%
19690V804744,NYGÅRDST.SENTR-ÅSAN,VEHICLE,Bergen,Vestland,E,EV16 S1D1 m467,60.38464,5.335779,2572.0,1.23,4) +10%...+25%
92559V248993,Geiranger Utsikten,VEHICLE,Stranda,Møre og Romsdal,F,FV63 S3D1 m7490,62.093852,7.226502,716.0,1.0,3) -10%...+10%
38240V705263,SANDSTAD S,VEHICLE,Grue,Innlandet,F,FV210 S4D1 m7923,60.458898,12.017158,1247.0,1.03,3) -10%...+10%
62963V1060678,TOSO ØST,VEHICLE,Jevnaker,Viken,E,EV16 S51D1 m1995,60.249378,10.425873,9356.0,1.13,4) +10%...+25%
01622V578649,Åsen,VEHICLE,Levanger,Trøndelag,F,FV753 S1D1 m160,63.607408,11.04035,2039.0,0.93,3) -10%...+10%
69193V248908,Brusdalen,VEHICLE,Ålesund,Møre og Romsdal,E,EV39 S32D1 m3462,62.483671,6.471878,11390.0,1.19,4) +10%...+25%
00492V443603,OSLO GRENSE,VEHICLE,Bærum,Viken,F,FV160 S1D1 m5,59.926714,10.625671,10698.0,1.17,4) +10%...+25%
17975V1820899,KIRKENÆR S,VEHICLE,Grue,Innlandet,R,RV2 S8D1 m3119,60.426973,12.043734,3414.0,0.91,3) -10%...+10%
10763V885364,SORTLAND N,VEHICLE,Sortland,Nordland,F,FV820 S1D1 m1098,68.71609,15.409199,3794.0,1.06,3) -10%...+10%
29403V625517,VATERLANDTUNNELEN,VEHICLE,Oslo,Oslo,R,RV162 S1D1 m2984,59.916034,10.749144,13106.0,1.14,4) +10%...+25%
43264V886007,R80 Hunstadmoen,VEHICLE,Bodø,Nordland,R,RV80 S5D1 m4093,67.27834,14.517631,17646.0,1.24,4) +10%...+25%
63432V319869,SOLA N. ved Arabergv.,VEHICLE,Sola,Rogaland,F,FV510 S2D1 m6281,58.890928,5.645482,13690.0,0.94,3) -10%...+10%
35978B1700571,Tune kirke nord,BICYCLE,Sarpsborg,Viken,F,FV118 S5D90 m45,59.292626,11.084066,20.0,0.94,3) -10%...+10%
86702V971481,HABORNVEIEN,VEHICLE,Fredrikstad,Viken,R,RV22 S1D1 m2692,59.204152,10.976908,9824.0,1.13,4) +10%...+25%
92382V72805,Berkåk,VEHICLE,Rennebu,Trøndelag,E,EV6 S65D1 m7499,62.808197,10.032373,5224.0,1.29,5) >+25%
72111V2038086,BOGSRUD AVRAMPE,VEHICLE,Eidsvoll,Viken,E,EV6 S25D1 m3298 KD1 m438,60.330553,11.19148,1039.0,0.96,3) -10%...+10%
80669V444288,Brynsv v/Levre,VEHICLE,Bærum,Viken,F,FV164 S2D1 m1800,59.905406,10.513921,7598.0,1.22,4) +10%...+25%
24127V1175846,KJELLE NORD,VEHICLE,Tønsberg,Vestfold og Telemark,F,FV308 S2D1 m324,59.28952,10.391954,15773.0,1.08,3) -10%...+10%
35551V521381,Skilrud,VEHICLE,Notodden,Vestfold og Telemark,E,EV134 S38D1 m7375,59.571427,9.201552,8209.0,1.05,3) -10%...+10%
04525V625637,Ø.Akersvei rampe mot Hvam,VEHICLE,Oslo,Oslo,E,EV6 S17D1 m7291 KD2 m50,59.948419,10.946888,5963.0,0.98,3) -10%...+10%
96529V885935,Skjellesvikskaret trafikk,VEHICLE,Narvik,Nordland,E,EV6 S157D1 m9124,68.256355,16.395288,439.0,1.31,5) >+25%
90528V249433,Reknes Stadion,VEHICLE,Molde,Møre og Romsdal,F,FV537 S1D1 m1639,62.734052,7.146946,4591.0,1.23,4) +10%...+25%
91460V1665980,LANGBAKK BRU RV2,VEHICLE,Ullensaker,Viken,E,EV16 S58D1 m8833,60.115884,11.277407,11544.0,1.0,3) -10%...+10%
63083V2680826,Martineåsen syd sørgående,VEHICLE,Larvik,Vestfold og Telemark,E,EV18 S31D1 m10307,59.061674,9.99652,8193.0,0.97,3) -10%...+10%
30552V444220,LEIRELVA BRU,VEHICLE,Lillestrøm,Viken,E,EV6 S20D1 m4866,60.029546,11.096486,62049.0,0.93,3) -10%...+10%
25719V1763349,RAVNEHEITUNNELEN,VEHICLE,Farsund,Agder,F,FV465 S2D1 m1547,58.121508,6.772744,1196.0,1.15,4) +10%...+25%
79722V971837,DYREVEIEN,VEHICLE,Moss,Viken,F,FV1064 S1D1 m4160,59.414502,10.661491,3596.0,1.03,3) -10%...+10%
88780V2282345,Ørbekk Sørgående rampe,VEHICLE,Eidsvoll,Viken,E,EV6 S26D1 m1421 KD3 m354,60.414411,11.240639,105.0,1.31,5) >+25%
94231V705137,GJELTEN BRU,VEHICLE,Alvdal,Innlandet,F,FV2228 S2D1 m7988,62.130965,10.568998,1147.0,1.0,3) -10%...+10%
84325V384020,BOGSTUNNELEN,VEHICLE,Høyanger,Vestland,E,EV39 S62D1 m4894,61.17634,5.774792,1977.0,1.21,4) +10%...+25%
29293V249601,Rotsethorntunnelen,VEHICLE,Volda,Møre og Romsdal,E,EV39 S40D1 m4294,62.122076,6.098191,2909.0,1.24,4) +10%...+25%
42289V1126309,GANSÅS,VEHICLE,Harstad,Troms og Finnmark,R,RV83 S3D1 m608,68.782364,16.550398,16322.0,1.04,3) -10%...+10%
64040V320581,E39 / Somaveien,VEHICLE,Sandnes,Rogaland,E,EV39 S101D1 m2650,58.868373,5.713416,58620.0,1.05,3) -10%...+10%
21801V72158,Brattørbrua,VEHICLE,Trondheim,Trøndelag,E,EV6 S75D140 m187,63.434645,10.40504,7883.0,1.08,3) -10%...+10%
66320V249614,Brattvåg N.,VEHICLE,Ålesund,Møre og Romsdal,F,FV659 S2D1 m2555,62.606934,6.408003,1652.0,1.2,4) +10%...+25%
31429V2791530,Granfoss rampe vest 2,VEHICLE,Oslo,Oslo,R,RV150 S2D1 m7624 KD1 m265,59.91967,10.631222,1943.0,1.14,4) +10%...+25%
64284V705207,BRANDVAL N,VEHICLE,Kongsvinger,Innlandet,R,RV2 S7D1 m699,60.323528,12.018825,3077.0,0.92,3) -10%...+10%
55622V384514,BRENNBORG,VEHICLE,Årdal,Vestland,F,FV53 S5D1 m4985,61.272089,7.765721,2419.0,1.11,4) +10%...+25%
94360V72364,Momyra,VEHICLE,Åfjord,Trøndelag,F,FV715 S14D1 m2930,64.097167,10.52493,557.0,0.96,3) -10%...+10%
43803V249522,Flåvik,VEHICLE,Ørsta,Møre og Romsdal,E,EV39 S37D1 m6703,62.270102,5.992089,2491.0,1.19,4) +10%...+25%
40830V805015,LAKSEVÅG-PUD.BRO,VEHICLE,Bergen,Vestland,F,FV584 S1D1 m3009 KD3 m80,60.382003,5.315859,2720.0,0.5,1) <-25%
12135V1126309,KANEBOGEN KVU,VEHICLE,Harstad,Troms og Finnmark,R,RV83 S2D1 m9459,68.775557,16.562984,13131.0,1.06,3) -10%...+10%
09389V443429,OSLOFJORDTUNNELEN,VEHICLE,Frogn,Viken,E,EV134 S49D1 m4090,59.691413,10.655631,10346.0,0.94,3) -10%...+10%
57627V578676,Skagakorsen mot Hofles,VEHICLE,Nærøysund,Trøndelag,F,FV769 S8D1 m5756,64.823313,11.497614,775.0,0.93,3) -10%...+10%
35340V1175843,NAPPERØD,VEHICLE,Sandefjord,Vestfold og Telemark,F,FV305 S2D1 m3118,59.177066,10.176081,3180.0,1.05,3) -10%...+10%
29481V384100,INDRE HAFSLO,VEHICLE,Luster,Vestland,F,FV55 S10D1 m4898,61.345065,7.262466,2192.0,1.05,3) -10%...+10%
34095V22185,VEGUSDAL OST,VEHICLE,Birkenes,Agder,F,FV42 S7D1 m21257,58.58352,8.164232,813.0,1.25,4) +10%...+25%
33443B2542097,KANALBRUA-SYKKEL,BICYCLE,Tønsberg,Vestfold og Telemark,F,FV308 S3D1 m2353,59.261823,10.416349,306.0,0.98,3) -10%...+10%
17096V443647,Snarøyveien,VEHICLE,Bærum,Viken,F,FV166 S1D1 m959,59.900519,10.625454,18506.0,0.92,3) -10%...+10%
00203V444270,SVÆRSVANN,VEHICLE,Nordre Follo,Viken,F,FV155 S1D1 m31,59.81748,10.890785,4717.0,1.1,3) -10%...+10%
11315V1685366,PALMAFOSSEN VEST,VEHICLE,Voss,Vestland,R,RV13 S35D1 m6984,60.635984,6.464408,9405.0,1.11,4) +10%...+25%
00782V443727,Vestby kirke,VEHICLE,Vestby,Viken,F,FV1356 S2D1 m5652,59.602311,10.734114,6986.0,1.03,3) -10%...+10%
02677V885310,ULVSVÅG VEST,VEHICLE,Hamarøy,Nordland,F,FV81 S1D1 m254,68.114523,15.860381,610.0,1.16,4) +10%...+25%
20226V1060660,LOM VEST,VEHICLE,Lom,Innlandet,R,RV15 S6D1 m1884,61.846904,8.537193,2345.0,1.08,3) -10%...+10%
07732V1993842,LOMOEN (FV319),VEHICLE,Nord-Fron,Innlandet,F,FV2532 S7D1 m5150,61.585668,9.717747,2560.0,1.05,3) -10%...+10%
88356V72157,Jernbanebrua,VEHICLE,Trondheim,Trøndelag,F,FV6692 S1D1 m243,63.435497,10.400043,6028.0,1.02,3) -10%...+10%
02754V2813475,VANGBERGSTUNNELEN,VEHICLE,Stryn,Vestland,F,FV60 S15D1 m2122,61.865343,6.736325,1556.0,1.28,5) >+25%
93189V320582,E39 / Oscar Wistingsgt.,VEHICLE,Stavanger,Rogaland,E,EV39 S100D1 m10011,58.948112,5.722435,48815.0,1.0,3) -10%...+10%
57587V805035,STORAVATN (RV555 RAMPE 14),VEHICLE,Bergen,Vestland,R,RV555 S1D1 m8311 KD1 m275,60.370658,5.214055,8035.0,1.02,3) -10%...+10%
99115V249438,Gammelseterlia,VEHICLE,Molde,Møre og Romsdal,F,FV538 S1D1 m6556,62.766593,7.276438,4656.0,1.1,3) -10%...+10%
15322V384480,FJELLVEGEN,VEHICLE,Sunnfjord,Vestland,E,EV39 S58D1 m953,61.44958,5.855029,13304.0,1.14,4) +10%...+25%
77570B384357,HAVRENESVEGEN (SYKKEL),BICYCLE,Kinn,Vestland,K,KV545 S2D1 m40,61.598202,5.016999,249.0,1.07,3) -10%...+10%
30236V121479,SELAND,VEHICLE,Sirdal,Agder,F,FV468 S1D1 m3391,58.69304,6.727426,731.0,1.09,3) -10%...+10%
29852V2460300,Kong Håkon 5.s gt Sydgående,VEHICLE,Oslo,Oslo,R,RV162 S1D1 m1055,59.905927,10.761306,11898.0,0.99,3) -10%...+10%
85205V2486785,FOLKEDALSTUNNELEN,VEHICLE,Voss,Vestland,F,FV79 S1D1 m7217,60.491088,6.654255,962.0,1.09,3) -10%...+10%
59773V885809,Sørvågen,VEHICLE,Øksnes,Nordland,F,FV7674 S1D1 m15855,68.910202,15.231999,1022.0,1.12,4) +10%...+25%
40190V319527,SOKN,VEHICLE,Stavanger,Rogaland,E,EV39 S98D1 m5987,59.05642,5.663593,9905.0,1.18,4) +10%...+25%
08771V521381,SPITEN,VEHICLE,Notodden,Vestfold og Telemark,E,EV134 S38D1 m9994,59.561181,9.242248,13578.0,1.03,3) -10%...+10%
59274V521379,Gjerde,VEHICLE,Kragerø,Vestfold og Telemark,E,EV18 S23D1 m3844,58.924963,9.312915,8500.0,1.13,4) +10%...+25%
37724V1707378,RISDAL,VEHICLE,Grimstad,Agder,E,EV18 S9D1 m1980,58.33707,8.556081,16827.0,1.11,4) +10%...+25%
72355V444049,DØLIHAGEN BUSSHOLDE,VEHICLE,Ullensaker,Viken,F,FV1496 S6D1 m3071,60.137746,11.173287,12851.0,0.99,3) -10%...+10%
50788V1060694,LINFLÅ,VEHICLE,Gausdal,Innlandet,F,FV255 S3D1 m1222,61.224885,10.198707,2980.0,1.02,3) -10%...+10%
99593V72151,KORPORALS BRU,VEHICLE,Midtre Gauldal,Trøndelag,E,EV6 S68D1 m446,62.983148,10.237697,6070.0,1.28,5) >+25%
60585V521136,Straumekrysset vest,VEHICLE,Drangedal,Vestfold og Telemark,F,FV38 S5D1 m10701,59.046048,9.126473,2171.0,1.06,3) -10%...+10%
30887V319846,Eigerøy bru,VEHICLE,Eigersund,Rogaland,R,RV426 S2D1 m1942,58.461917,5.979794,7204.0,1.0,3) -10%...+10%
65271V443150,Vestby syd ny,VEHICLE,Vestby,Viken,E,EV6 S10D1 m6354,59.605903,10.736007,41510.0,0.89,2) -25%...+10%
45653V2518816,KNAPPETUNNELEN NORD-SANDEIDET,VEHICLE,Bergen,Vestland,F,FV557 S1D1 m4887 KD1 m265,60.336639,5.263606,4877.0,1.13,4) +10%...+25%
01036V72288,STORMYRA N,VEHICLE,Heim,Trøndelag,F,FV680 S17D1 m8390,63.212572,9.017862,1546.0,1.01,3) -10%...+10%
93341V248912,Vestnes Kirke,VEHICLE,Vestnes,Møre og Romsdal,E,EV39 S26D1 m2912,62.628548,7.080731,6441.0,1.1,3) -10%...+10%
73689V319876,Sundekrossen,VEHICLE,Stavanger,Rogaland,R,RV509 S2D1 m6972,58.962127,5.614648,13373.0,1.1,3) -10%...+10%
18137V1060663,NORDRUM (FV27),VEHICLE,Ringebu,Innlandet,F,FV27 S1D1 m1803,61.55127,10.089557,1410.0,1.17,4) +10%...+25%
00199V578643,Eidet bru mot Sandvika,VEHICLE,Lierne,Trøndelag,F,FV74 S8D1 m4621,64.441745,13.627469,754.0,0.65,1) <-25%
22576V805808,ØVREGATEN,VEHICLE,Bergen,Vestland,F,FV5342 S1D1 m433,60.398059,5.324827,3893.0,0.45,1) <-25%
13322V443660,LOMMEDALSVEIEN,VEHICLE,Bærum,Viken,F,FV168 S2D1 m2974,59.937983,10.501818,12824.0,1.11,4) +10%...+25%
10174V2460044,TRETTEN BRU VEST,VEHICLE,Øyer,Innlandet,F,FV254 S2D1 m7738,61.309642,10.295715,1441.0,1.26,5) >+25%
42608V249021,Langveien,VEHICLE,Kristiansund,Møre og Romsdal,R,RV70 S19D1 m2847,63.115467,7.725498,11839.0,1.14,4) +10%...+25%
29015V885202,E10 Moskenes x fergekai,VEHICLE,Moskenes,Nordland,E,EV10 S1D1 m4829,67.902522,13.041944,1395.0,1.0,3) -10%...+10%
04925V444232,Lysakerlokket,VEHICLE,Bærum,Viken,E,EV18 S54D1 m776,59.911891,10.633088,60543.0,0.94,3) -10%...+10%
02853V1665549,RV85 Gullesfjord Vest,VEHICLE,Kvæfjord,Troms og Finnmark,R,RV85 S4D1 m29,68.529212,15.764814,868.0,1.0,3) -10%...+10%
25132V805616,DANMARKSPLASS-ÅSANE,VEHICLE,Bergen,Vestland,E,EV39 S77D1 m7483,60.383487,5.335978,9062.0,1.15,4) +10%...+25%
56190V804815,SØRÅS/SENTRUM,VEHICLE,Bergen,Vestland,E,EV39 S78D1 m6311 KD5 m274,60.326124,5.336979,17205.0,0.94,3) -10%...+10%
05666V971546,RYGGE RÅDHUS,VEHICLE,Moss,Viken,F,FV119 S2D1 m523,59.40359,10.693805,5491.0,1.03,3) -10%...+10%
83708V384493,FRUDALSTUNNELEN,VEHICLE,Sogndal,Vestland,R,RV5 S9D1 m5722,61.375535,6.786308,1602.0,1.15,4) +10%...+25%
82860V885983,TORSVIKA,VEHICLE,Meløy,Nordland,F,FV17 S52D1 m2641,66.881544,13.666361,2145.0,1.03,3) -10%...+10%
52780V320689,Håland,VEHICLE,Randaberg,Rogaland,F,FV4560 S2D1 m1390,58.984062,5.628547,6999.0,1.22,4) +10%...+25%
26042V181058,LANDFALLØYA BRU SYD,VEHICLE,Drammen,Viken,F,FV2730 S1D1 m49,59.746912,10.163274,10240.0,1.08,3) -10%...+10%
54946V249000,Steen,VEHICLE,Rauma,Møre og Romsdal,F,FV64 S1D1 m5580,62.570978,7.782091,3919.0,1.12,4) +10%...+25%
85638V249090,Otrøy,VEHICLE,Molde,Møre og Romsdal,F,FV668 S4D1 m6112,62.699477,6.702853,1301.0,1.16,4) +10%...+25%
25694V2370584,Karmøytunnelen Hellevik,VEHICLE,Karmøy,Rogaland,F,FV554 S1D1 m634,59.319271,5.369854,4412.0,1.09,3) -10%...+10%
69803V121343,RAMPE FRA EG,VEHICLE,Kristiansand,Agder,E,EV18 S1D1 m1488 KD2 m602,58.153961,7.995469,1555.0,0.99,3) -10%...+10%
45892V886032,FRØSKELAND,VEHICLE,Sortland,Nordland,F,FV820 S2D1 m19,68.757333,15.136402,1204.0,1.07,3) -10%...+10%
95741V1125961,Gamnes v/værstasjon,VEHICLE,Karlsøy,Troms og Finnmark,F,FV863 S4D1 m8472,69.903035,19.473525,832.0,0.99,3) -10%...+10%
70836V249525,Flote,VEHICLE,Ålesund,Møre og Romsdal,E,EV39 S30D1 m2571,62.482661,6.645682,7521.0,1.19,4) +10%...+25%
78910V705216,STANGE Ø,VEHICLE,Stange,Innlandet,F,FV24 S9D1 m4202,60.722636,11.221132,5725.0,0.97,3) -10%...+10%
73391V704580,OPPHUS SKOLE,VEHICLE,Stor-Elvdal,Innlandet,R,RV3 S9D1 m4463,61.333684,11.255238,2844.0,1.13,4) +10%...+25%
25000V2252921,HOLMENE,VEHICLE,Sandefjord,Vestfold og Telemark,E,EV18 S36D1 m3046,59.25747,10.29535,33769.0,1.06,3) -10%...+10%
50043V885183,Trollvann Brøytestasjon,VEHICLE,Narvik,Nordland,E,EV10 S32D1 m10451,68.476449,17.742357,1156.0,0.22,1) <-25%
91169V1801368,KOLOBEKKEN SØR,VEHICLE,Stange,Innlandet,E,EV6 S29D1 m1325,60.649086,11.292924,13314.0,1.16,4) +10%...+25%
88478V22214,HISOYSTOMMEN,VEHICLE,Arendal,Agder,F,FV420 S4D1 m550,58.44143,8.741378,8727.0,0.92,3) -10%...+10%
89712V930408,Mehamn ved vegbom,VEHICLE,Gamvik,Troms og Finnmark,F,FV888 S6D1 m12301,71.015775,27.838878,282.0,1.05,3) -10%...+10%
88559V1685348,PALMAFOSSEN AUST,VEHICLE,Voss,Vestland,R,RV13 S35D1 m6872,60.635493,6.466188,6344.0,1.1,3) -10%...+10%
99246V443317,LYSAKERLOKKET KOLLEKTIV,VEHICLE,Bærum,Viken,E,EV18 S54D1 m257 KD6 m591,59.911744,10.633036,277.0,1.01,3) -10%...+10%
27549V971415,LUND,VEHICLE,Indre Østfold,Viken,R,RV22 S7D1 m4345,59.465998,11.37899,3965.0,1.02,3) -10%...+10%
13715V2721330,Sømmevågen,VEHICLE,Sola,Rogaland,R,RV509 S1D1 m3891,58.895764,5.641322,14988.0,0.8,2) -25%...+10%
82913V971429,KRÅKERØY BRU,VEHICLE,Fredrikstad,Viken,F,FV108 S1D90 m97,59.207855,10.93777,11427.0,1.0,3) -10%...+10%
08776V1175849,VRENGEN,VEHICLE,Færder,Vestfold og Telemark,F,FV308 S6D1 m94,59.170687,10.382385,5914.0,1.03,3) -10%...+10%
45059V705206,HOV N,VEHICLE,Kongsvinger,Innlandet,R,RV2 S5D1 m2975,60.219584,12.032015,5720.0,0.96,3) -10%...+10%
29591V705257,KJELLMYRA S,VEHICLE,Åsnes,Innlandet,F,FV206 S2D1 m2768,60.634926,12.02903,3215.0,1.02,3) -10%...+10%
23111V704635,BRENNERIROA V,VEHICLE,Løten,Innlandet,R,RV25 S4D1 m2452,60.82799,11.282685,10565.0,1.05,3) -10%...+10%
67354V21986,FV 171 SELDE,VEHICLE,Arendal,Agder,F,FV3534 S1D1 m2121,58.446085,8.703795,6336.0,1.1,3) -10%...+10%
95959B971385,JELØGATA SYKKEL,BICYCLE,Moss,Viken,R,RV19 S1D1 m3443,59.43385,10.65388,287.0,0.89,2) -25%...+10%
15903V180958,BJØRNSTAD N.,VEHICLE,Asker,Viken,F,FV165 S2D1 m6234,59.746323,10.435636,12028.0,1.08,3) -10%...+10%
38999V249046,Kvistad,VEHICLE,Ørsta,Møre og Romsdal,F,FV655 S4D1 m3974,62.194756,6.417394,808.0,1.21,4) +10%...+25%
47905V249548,Stranda,VEHICLE,Stranda,Møre og Romsdal,F,FV60 S6D1 m11590,62.303421,6.901482,1703.0,1.13,4) +10%...+25%
03093V886126,"Leknes, veg til fl",VEHICLE,Vestvågøy,Nordland,F,FV7616 S1D1 m13,68.155936,13.622944,2259.0,0.94,3) -10%...+10%
